"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"KNN1","resp_len",7.4e+07,1.7e+07,2.1e+07,1.9e+07,1.7e+07,0.464,0.488,0.51,3.4e+07,4e+07,3.6e+07,3.8e+07,-2e+06,2e+06,3905405.40540541,5959459.45945946,34040540.5405405,30094594.5945946,0.102920227920228,0.114864864864865,0.133308984660336,0.361079772079772,0.373135135135135,0.376691015339664
"KNN_multi","take_own",7.4e+07,1.6e+07,2.7e+07,1.4e+07,1.7e+07,0.534,0.493,0.58,3.3e+07,4.1e+07,3e+07,4.4e+07,3e+06,-3e+06,3459459.45945946,9851351.35135135,31148648.6486486,29540540.5405405,0.0999609527528309,0.104832104832105,0.179875821767714,0.434039047247169,0.388167895167895,0.400124178232286
"KNN_multi","take_illspouse",5.2e+07,63000,4.8e+07,580000,3400000,0.098,0.018,0.92,3463000,48580000,643000,51400000,2820000,-2820000,76.3269230769231,44307692.3076923,4272307.6923077,3462923.67307692,1.78651831701836e-05,2.20406939292299e-05,0.851368457518117,0.0979821348168298,0.0179779593060708,0.0686315424818826
"KNN_multi","take_illchild",7.4e+07,0,7e+07,76000,3600000,0,0,0.95,3600000,70076000,76000,73600000,3524000,-3524000,0,66216216.2162162,3859783.78378379,3600000,0,0,0.898748794942942,0,0,0.0512512050570577
"KNN_multi","take_illparent",7.4e+07,51000,6.9e+07,470000,4300000,0.099,0.012,0.93,4351000,69470000,521000,73300000,3830000,-3830000,35.1486486486486,64337837.8378378,5132162.16216216,4350964.85135135,6.8486549756396e-06,8.07829203600291e-06,0.871538897962456,0.0989931513450244,0.011991921707964,0.0584611020375437
"KNN_multi","take_matdis",2.3e+07,2400000,1.5e+07,1200000,4e+06,0.66,0.378,0.77,6400000,16200000,3600000,1.9e+07,2800000,-2800000,250434.782608696,9782608.69565217,6417391.30434783,6149565.2173913,0.0375586854460094,0.0391304347826087,0.443939976914198,0.622441314553991,0.338869565217391,0.326060023085802
"KNN_multi","take_bond",1.6e+07,0,1.5e+07,0,4e+05,NA,0,0.97,4e+05,1.5e+07,0,15400000,4e+05,-4e+05,0,14062500,937500,4e+05,0,0,0.913149350649351,NA,0,0.0568506493506493
"KNN_multi","need_own",7.4e+07,240000,6.3e+07,980000,1e+07,0.196,0.023,0.85,10240000,63980000,1220000,7.3e+07,9020000,-9020000,778.378378378378,53635135.1351351,10344864.8648649,10239221.6216216,7.52373110185042e-05,7.60135135135135e-05,0.722661189888352,0.195924762688982,0.0229239864864865,0.127338810111648
"KNN_multi","need_illspouse",5.2e+07,0,5.1e+07,0,1400000,NA,0,0.97,1400000,5.1e+07,0,52400000,1400000,-1400000,0,50019230.7692308,980769.230769232,1400000,0,0,0.954565472695244,NA,0,0.0154345273047564
"KNN_multi","need_illchild",7.4e+07,0,7.2e+07,0,2400000,NA,0,0.97,2400000,7.2e+07,0,74400000,2400000,-2400000,0,70054054.0540541,1945945.94594595,2400000,0,0,0.941586748038361,NA,0,0.028413251961639
"KNN_multi","need_illparent",7.4e+07,0,7.1e+07,0,3200000,NA,0,0.96,3200000,7.1e+07,0,74200000,3200000,-3200000,0,68121621.6216216,2878378.37837838,3200000,0,0,0.918081153930211,NA,0,0.0419188460697894
"KNN_multi","need_matdis",2.3e+07,0,2.2e+07,0,590000,NA,0,0.97,590000,2.2e+07,0,22590000,590000,-590000,0,21043478.2608696,956521.739130434,590000,0,0,0.931539542313837,NA,0,0.0384604576861635
"KNN_multi","need_bond",3.9e+07,0,3.7e+07,48000,1800000,0,0,0.95,1800000,37048000,48000,38800000,1752000,-1752000,0,35102564.1025641,1945435.8974359,1800000,0,0,0.903587420267816,0,0,0.0464125797321843
"KNN_multi","resp_len",7.4e+07,1.5e+07,2.6e+07,1.5e+07,1.9e+07,0.505,0.435,0.54,3.4e+07,4.1e+07,3e+07,4.5e+07,4e+06,-4e+06,3040540.54054054,9135135.13513513,31864864.8648649,30959459.4594595,0.0871080139372822,0.0894276629570747,0.162342342342342,0.417891986062718,0.345572337042925,0.377657657657658
